AGNO,COD_COM_RBD,COD_DEPE2,RURAL_RBD,COD_ENSE,COD_GRADO,MRUN,GEN_ALU,EDAD_ALU,COD_COM_ALU,PROM_GRAL,ASISTENCIA,SIT_FIN_R,PROM_GRAL_ANTERIOR,ASISTENCIA_ANTERIOR,EE_GRATUITO,PRIORITARIO_ALU,PREFERENTE_ALU,BEN_SEP,DESERTAR
2022,14201,2,0,310,4,2615587,1,17.0,14204,5.7,95,P,5.3,85.0,1,0,1,1,0
2024,8101,4,0,410,3,3187004,1,16.0,8108,5.4,78,P,,,1,1,0,0,0
2019,13127,2,0,310,4,12291021,2,17.0,13107,5.8,67,P,6.2,29.0,1,0,1,1,0
2020,9101,2,0,610,3,23922478,2,16.0,9101,4.4,85,P,,,1,1,0,1,0
2022,9201,2,0,310,4,13152845,2,17.0,8101,6.4,85,P,5.8,59.0,1,1,0,1,0
2023,2101,1,0,410,3,3974853,1,16.0,2101,5.7,88,P,,,1,0,1,1,0
2022,10301,2,0,310,4,20946899,2,18.0,11101,5.8,50,P,5.1,85.0,0,0,1,0,0
2024,13501,1,0,610,3,4986822,2,16.0,13501,6.7,85,P,,,1,1,0,1,0
2023,13201,2,0,310,3,24199585,2,17.0,13201,6.7,93,P,,,1,0,1,1,0
2023,6101,1,0,410,4,5098643,1,17.0,6101,4.9,70,P,5.3,72.0,1,1,0,1,0
2018,7401,2,0,310,4,3759412,2,19.0,7401,5.6,90,P,5.3,90.0,1,1,0,1,0
2024,4201,2,0,610,3,19134964,2,16.0,4201,6.2,99,P,,,1,1,0,1,0
2022,8108,2,0,310,3,7934707,2,16.0,8108,6.4,87,P,,,0,1,0,1,0
2024,3101,5,0,310,3,21947629,1,17.0,3101,4.5,96,P,,,1,1,0,1,0
2017,8401,2,0,310,4,17507426,2,17.0,8401,6.8,99,P,6.8,99.0,0,0,1,0,0
2023,13401,1,0,510,4,9842829,1,19.0,13131,6.5,82,P,6.4,81.0,1,0,1,1,0
2022,7101,2,0,310,4,4668585,2,17.0,7101,6.2,87,P,5.9,85.0,0,1,0,1,0
2023,5301,1,0,310,3,5178158,1,16.0,5301,6.1,94,P,,,1,0,1,1,0
2018,5401,2,0,310,3,1896985,2,16.0,5401,5.0,98,P,,,0,0,1,0,0
2022,9203,1,0,610,4,483211,2,20.0,9203,6.0,87,P,5.2,95.0,1,1,0,1,0
2017,9101,2,0,510,3,11667112,1,17.0,9113,4.8,98,P,4.4,99.0,1,1,0,1,0
2023,6101,1,0,510,3,5039790,2,18.0,6101,6.1,90,P,,,1,1,0,1,0
2018,13501,2,0,310,3,21043005,2,16.0,13501,6.5,100,P,,,1,0,1,1,0
2019,5101,2,0,310,3,1947149,2,16.0,5101,5.2,97,P,,,1,1,0,1,0
2021,16305,1,0,310,4,15516920,2,17.0,16101,6.3,100,P,6.2,100.0,1,1,0,1,0
2020,14201,2,1,610,3,13604615,2,17.0,14201,6.4,100,P,,,1,1,0,1,0
2020,13401,1,1,510,3,1150539,2,16.0,13401,5.7,90,P,,,1,1,0,1,0
2018,16101,4,0,410,4,5746708,2,17.0,16101,5.7,90,P,,,1,1,0,0,0
2021,8102,1,0,310,3,11369618,2,16.0,8102,6.0,90,P,,,1,1,0,1,0
2022,9207,1,0,510,3,16171332,1,17.0,9210,5.1,90,P,,,1,0,1,1,0
2020,13128,4,0,510,4,10322389,1,17.0,13128,6.4,85,P,5.9,82.0,1,1,0,0,0
2018,6105,2,0,310,3,10350291,1,16.0,6105,6.5,95,P,,,1,1,0,1,0
2024,7301,2,0,310,3,416994,1,16.0,7301,6.3,100,P,,,1,0,1,1,0
2017,5105,1,0,610,4,23013831,1,18.0,5105,5.6,93,P,5.5,93.0,1,1,0,1,0
2024,16101,1,0,510,3,9657881,2,16.0,16101,5.5,95,P,,,1,1,0,1,0
2023,8301,1,0,510,4,17297029,1,17.0,8301,6.0,87,P,5.9,85.0,1,1,0,1,0
2017,2101,1,0,610,4,16031688,2,18.0,2101,6.5,94,P,5.8,90.0,1,1,0,1,0
2022,9101,2,0,610,4,20162140,2,18.0,9101,6.5,87,P,5.7,85.0,1,1,0,1,0
2017,5101,2,0,310,3,15898661,2,16.0,5101,5.6,76,P,,,1,1,0,1,0
2023,9101,2,0,310,4,24891575,2,17.0,9101,6.8,95,P,6.5,85.0,0,0,1,0,0
2019,13122,1,0,510,4,15952021,1,18.0,13122,5.1,88,P,5.2,90.0,1,0,1,1,0
2023,16101,1,0,310,4,8061510,1,17.0,16101,6.9,94,P,6.7,78.0,1,1,0,1,0
